package,protocol,requested,resolved
"@babel/parser","npm","7.25.6","7.25.6"
"@babel/plugin-bugfix-firefox-class-in-computed-class-key","npm","^7.24.5","7.24.5"
"@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression","npm","^7.24.1","7.24.1"
"@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining","npm","^7.24.1","7.24.1"
"@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly","npm","^7.24.1","7.24.1"
"@babel/plugin-proposal-class-properties","npm","^7.0.0","7.18.6"
"@babel/plugin-proposal-class-properties","npm","7.12.1","7.12.1"
"@babel/plugin-proposal-object-rest-spread","npm","^7.0.0","7.20.7"
"@babel/plugin-proposal-private-property-in-object","npm","7.21.0-placeholder-for-preset-env.2","7.21.0-placeholder-for-preset-env.2"
"@babel/plugin-syntax-async-generators","npm","^7.8.4","7.8.4"
"@babel/plugin-syntax-bigint","npm","^7.8.3","7.8.3"
"@babel/plugin-syntax-class-properties","npm","^7.0.0","7.12.13"
"@babel/plugin-syntax-class-properties","npm","^7.12.13","7.12.13"
"@babel/plugin-syntax-class-properties","npm","^7.8.3","7.12.13"
"@babel/plugin-syntax-class-static-block","npm","^7.14.5","7.14.5"
"@babel/plugin-syntax-dynamic-import","npm","^7.8.3","7.8.3"
"@babel/plugin-syntax-export-namespace-from","npm","^7.8.3","7.8.3"
"@babel/plugin-syntax-flow","npm","^7.0.0","7.24.7"
"@babel/plugin-syntax-flow","npm","^7.24.1","7.24.1"
"@babel/plugin-syntax-flow","npm","^7.24.7","7.24.7"
"@babel/plugin-syntax-import-assertions","npm","^7.24.1","7.24.1"
"@babel/plugin-syntax-import-attributes","npm","^7.24.1","7.24.1"
"@babel/plugin-syntax-import-meta","npm","^7.10.4","7.10.4"
"@babel/plugin-syntax-import-meta","npm","^7.8.3","7.10.4"
"@babel/plugin-syntax-json-strings","npm","^7.8.3","7.8.3"
"@babel/plugin-syntax-jsx","npm","^7.0.0","7.24.7"
"@babel/plugin-syntax-jsx","npm","^7.12.1","7.24.1"
"@babel/plugin-syntax-jsx","npm","^7.23.3","7.24.1"
"@babel/plugin-syntax-jsx","npm","^7.24.7","7.24.7"
"@babel/plugin-syntax-jsx","npm","^7.7.2","7.24.1"
"@babel/plugin-syntax-logical-assignment-operators","npm","^7.10.4","7.10.4"
"@babel/plugin-syntax-logical-assignment-operators","npm","^7.8.3","7.10.4"
"@babel/plugin-syntax-nullish-coalescing-operator","npm","^7.8.3","7.8.3"
"@babel/plugin-syntax-numeric-separator","npm","^7.10.4","7.10.4"
"@babel/plugin-syntax-numeric-separator","npm","^7.8.3","7.10.4"
"@babel/plugin-syntax-object-rest-spread","npm","^7.0.0","7.8.3"
"@babel/plugin-syntax-object-rest-spread","npm","^7.8.3","7.8.3"
"@babel/plugin-syntax-optional-catch-binding","npm","^7.8.3","7.8.3"
"@babel/plugin-syntax-optional-chaining","npm","^7.8.3","7.8.3"
"@babel/plugin-syntax-private-property-in-object","npm","^7.14.5","7.14.5"
"@babel/plugin-syntax-top-level-await","npm","^7.14.5","7.14.5"
"@babel/plugin-syntax-top-level-await","npm","^7.8.3","7.14.5"
"@babel/plugin-syntax-typescript","npm","^7.7.2","7.24.1"
"@babel/plugin-syntax-unicode-sets-regex","npm","^7.18.6","7.18.6"
"@babel/plugin-transform-arrow-functions","npm","^7.0.0","7.24.7"
"@babel/plugin-transform-arrow-functions","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-async-generator-functions","npm","^7.24.3","7.24.3"
"@babel/plugin-transform-async-to-generator","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-block-scoped-functions","npm","^7.0.0","7.24.7"
"@babel/plugin-transform-block-scoped-functions","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-block-scoping","npm","^7.0.0","7.25.0"
"@babel/plugin-transform-block-scoping","npm","^7.24.5","7.24.5"
"@babel/plugin-transform-class-properties","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-class-static-block","npm","^7.24.4","7.24.4"
"@babel/plugin-transform-classes","npm","^7.0.0","7.25.4"
"@babel/plugin-transform-classes","npm","^7.24.5","7.24.5"
"@babel/plugin-transform-computed-properties","npm","^7.0.0","7.24.7"
"@babel/plugin-transform-computed-properties","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-destructuring","npm","^7.0.0","7.24.8"
"@babel/plugin-transform-destructuring","npm","^7.24.5","7.24.5"
"@babel/plugin-transform-dotall-regex","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-duplicate-keys","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-dynamic-import","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-exponentiation-operator","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-export-namespace-from","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-flow-strip-types","npm","^7.0.0","7.25.2"
"@babel/plugin-transform-flow-strip-types","npm","^7.12.10","7.24.1"
"@babel/plugin-transform-flow-strip-types","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-for-of","npm","^7.0.0","7.24.7"
"@babel/plugin-transform-for-of","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-function-name","npm","^7.0.0","7.25.1"
"@babel/plugin-transform-function-name","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-json-strings","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-literals","npm","^7.0.0","7.25.2"
"@babel/plugin-transform-literals","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-logical-assignment-operators","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-member-expression-literals","npm","^7.0.0","7.24.7"
"@babel/plugin-transform-member-expression-literals","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-modules-amd","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-modules-commonjs","npm","^7.0.0","7.24.8"
"@babel/plugin-transform-modules-commonjs","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-modules-systemjs","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-modules-umd","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-named-capturing-groups-regex","npm","^7.22.5","7.22.5"
"@babel/plugin-transform-new-target","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-nullish-coalescing-operator","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-numeric-separator","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-object-rest-spread","npm","^7.24.5","7.24.5"
"@babel/plugin-transform-object-super","npm","^7.0.0","7.24.7"
"@babel/plugin-transform-object-super","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-optional-catch-binding","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-optional-chaining","npm","^7.24.1","7.24.5"
"@babel/plugin-transform-optional-chaining","npm","^7.24.5","7.24.5"
"@babel/plugin-transform-parameters","npm","^7.0.0","7.24.7"
"@babel/plugin-transform-parameters","npm","^7.20.7","7.24.7"
"@babel/plugin-transform-parameters","npm","^7.24.5","7.24.5"
"@babel/plugin-transform-private-methods","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-private-property-in-object","npm","^7.24.5","7.24.5"
"@babel/plugin-transform-property-literals","npm","^7.0.0","7.24.7"
"@babel/plugin-transform-property-literals","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-react-display-name","npm","^7.0.0","7.24.7"
"@babel/plugin-transform-react-display-name","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-react-jsx","npm","^7.0.0","7.25.2"
"@babel/plugin-transform-react-jsx","npm","^7.12.11","7.23.4"
"@babel/plugin-transform-react-jsx","npm","^7.22.5","7.23.4"
"@babel/plugin-transform-react-jsx","npm","^7.23.4","7.23.4"
"@babel/plugin-transform-react-jsx-development","npm","^7.22.5","7.22.5"
"@babel/plugin-transform-react-jsx-self","npm","^7.23.3","7.24.5"
"@babel/plugin-transform-react-jsx-source","npm","^7.23.3","7.24.1"
"@babel/plugin-transform-react-pure-annotations","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-regenerator","npm","^7.12.1","7.24.1"
"@babel/plugin-transform-regenerator","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-reserved-words","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-shorthand-properties","npm","^7.0.0","7.24.7"
"@babel/plugin-transform-shorthand-properties","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-spread","npm","^7.0.0","7.24.7"
"@babel/plugin-transform-spread","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-sticky-regex","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-template-literals","npm","^7.0.0","7.24.7"
"@babel/plugin-transform-template-literals","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-typeof-symbol","npm","^7.24.5","7.24.5"
"@babel/plugin-transform-unicode-escapes","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-unicode-property-regex","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-unicode-regex","npm","^7.24.1","7.24.1"
"@babel/plugin-transform-unicode-sets-regex","npm","^7.24.1","7.24.1"
"@babel/preset-env","npm","^7.12.11","7.24.5"
"@babel/preset-flow","npm","^7.12.1","7.24.1"
"@babel/preset-modules","npm","0.1.6-no-external-plugins","0.1.6-no-external-plugins"
"@babel/preset-react","npm","^7.12.10","7.24.1"
"@babel/regjsgen","npm","^0.8.0","0.8.0"
"@babel/runtime","npm","^7.0.0","7.25.6"
"@babel/runtime","npm","^7.12.5","7.24.5"
"@babel/runtime","npm","^7.13.10","7.24.5"
"@babel/runtime","npm","^7.15.4","7.24.5"
